account_number,transaction_datetime,transaction_amount,post_date,merchant_number,merchant_description,merchant_info,merchant_state,merchant_category_code,transaction_number
33717,04042021 18:29:53,21.73,4052021,437600,FAST PHILS 129,HUNTERSVILLE,California,5541,106
25770,04072021 16:09:50,22.46,4082021,439666,BATH AND BODY WORKS 504,TEMPE,New Jersey,5999,84
26045,04052021 12:31:42,3.56,4072021,447498,LOWES FOODS #27,COLUMBIA,Hawaii,5411,5
14215,04042021 20:57:37,9.99,4052021,457875,ALBERTSONS #4234,MCKINNEY,Idaho,5411,2
38256,04102021 07:00:50,146.56,4112021,459004,SAFEWAY,CHANDLER,Ohio,5411,2
38256,04102021 10:14:25,2.83,4112021,459004,SAFEWAY,CHANDLER,Ohio,5411,4
32104,03172021 11:22:54,21.81,3182021,459128,SAFEWAY,PORTLAND,Massachusetts,5411,1
17447,03162021 09:10:24,12.54,3172021,459208,RANDALLS #1067,HOUSTON,Alaska,5411,2
20759,02022021 10:51:19,3.53,2032021,459716,TOM THUMB,DALLAS,New Mexico,5411,15
20759,02042021 06:45:12,7.5,2052021,459716,TOM THUMB,DALLAS,New Mexico,5411,19
32130,04022021 13:43:46,4.49,4032021,464210,SAFEWAY 1283,ALEXANDRIA,California,5411,3
20759,02022021 11:02:49,1.36,2042021,469222,CENTRAL MARKET,DALLAS,New Mexico,5411,16
20759,02042021 11:06:27,12.78,2062021,469222,CENTRAL MARKET,DALLAS,New Mexico,5411,20
20759,01292021 10:52:53,16.55,1312021,469222,CENTRAL MARKET,DALLAS,New Mexico,5411,2
20759,02032021 17:34:22,28.66,2042021,469222,CENTRAL MARKET,DALLAS,New Mexico,5411,18
20759,01312021 11:10:03,31.21,2012021,469222,CENTRAL MARKET,DALLAS,New Mexico,5411,9
20759,02012021 16:50:38,7.04,2032021,469222,CENTRAL MARKET,DALLAS,New Mexico,5411,11
32779,04032021 15:55:46,20.96,4042021,469996,SPROUTS FARMERS MARKET,LAS VEGAS,New York,5411,2
37226,01192021 16:44:36,17.02,1202021,522816,SHELL OIL,PHOENIX,New York,5541,19
20717,04032021 12:54:00,51.76,4042021,528443,SHELL OIL,ARRINGTON,Maryland,5542,1
17504,03272021 09:54:18,3.33,3282021,537494,REDNERS MKTS #76,BENSALEM,California,5411,8
33717,02272021 07:13:46,111.62,3012021,544778,SEED TO TABLE,NAPLES,California,5411,32
33717,02272021 15:56:10,216,3012021,544778,SEED TO TABLE,NAPLES,California,5411,35
17079,02142021 11:29:00,25.7,2162021,549116,RITE AID 05992,SAN JOSE,New Jersey,5912,6
31488,03172021 12:47:42,12.17,3192021,549610,RITE AID 10534,NEW YORK,Texas,5912,4
30772,03302021 13:06:21,14.78,4012021,552948,C.R. FOOD MART,SAN DIEGO,New Jersey,5541,3
24124,04082021 18:09:07,55.89,4102021,559290,MCDONALD'S,ROWLEY,Wyoming,5814,5
38256,04102021 12:17:58,25.22,4112021,576366,SPROUTS FARMERS MKT #15,CHANDLER,Ohio,5411,5
38256,04102021 07:26:51,80.65,4112021,576366,SPROUTS FARMERS MKT #15,CHANDLER,Ohio,5411,3
13868,03312021 07:24:07,20.01,4022021,586583,BP#2037851PALM,LEXINGTON,Indiana,5542,1
24493,04042021 16:45:18,12.62,4052021,633785,SHELL SERVICE STATION,N PROVIDENCE,Maryland,5541,1
17447,03162021 14:50:19,36.02,3172021,634826,HARVEST NATURAL MARKET,KATY,Alaska,5411,3
15041,04022021 17:15:05,18.89,4032021,660081,SHELL SERVICE STATION,GREENBURG,Alaska,5541,8
19485,04042021 07:27:55,37.69,4052021,687020,SHELL SERVICE STATION,HOUSTON,California,5542,25
19485,02122021 08:26:34,33.75,2132021,687046,SHELL SERVICE STATION,HOUSTON,California,5542,17
37226,01202021 09:20:43,2.66,1222021,689124,MAVERIK #401,PRESCOTT VALL,New York,5541,20
22367,04012021 06:00:15,619.9,4032021,791707,KROGER #6 5111 HIGHLAN,WATERFORD,Illinois,5411,1
37226,01112021 16:20:37,4.76,1122021,868320,SHELL SERVICE STATION,SCOTTSDALE,New York,5541,2
22824,02082021 12:28:06,15.39,2102021,879688,CENTRAL MARKET,HOUSTON,Arizona,5411,5
22824,01282021 12:23:21,20.97,1292021,879688,CENTRAL MARKET,HOUSTON,Arizona,5411,2
28226,01142021 18:55:17,11.55,1162021,879699,H-E-B,HOUSTON,Pennsylvania,5411,10
35934,04092021 16:28:17,12.8,4102021,901000,MERCHANTNAME,MERCHANTCITY,Nevada,5814,3
26995,03302021 17:13:58,44.15,3312021,903362,BROOKS GROCERY,IUKA,New York,5411,3
19862,04052021 19:22:45,45.85,4062021,910874,SHELL OIL,LYNN,California,5542,3
25643,01182021 15:40:20,14.65,1192021,925910,SHELL OIL,PEARLAND,Illinois,5541,27
25643,01042021 19:06:07,4.84,1052021,925910,SHELL OIL,PEARLAND,Illinois,5541,9
37096,03202021 19:22:08,35.33,3222021,927399,MURPHY7192ATWAL,BLUE SPRINGS,New Jersey,5542,3
17777,04022021 10:21:40,18.42,4032021,951358,SHELL OIL,AURORA,California,5542,3
17777,04032021 10:08:55,26,4042021,951358,SHELL OIL,AURORA,California,5541,5
17178,03282021 09:39:11,17.52,3292021,977587,SPROUTS FARMERS MKT,ARVADA,California,5411,2
30808,04012021 17:28:30,3.47,4022021,978308,SPROUTS FARMERS MKT,SANTA FE,Rhode Island,5411,19
30808,04012021 17:26:43,44.53,4022021,978308,SPROUTS FARMERS MKT,SANTA FE,Rhode Island,5411,18
26603,03242021 16:40:58,22.18,3252021,990423,COSTCO,SUNNYVALE,New York,5300,32
17079,02242021 11:53:50,28.17,2252021,990778,COSTCO,FREMONT,New Jersey,5300,14
26603,04032021 12:43:31,45.71,4052021,1017777,The Country Way,FREMONT,New York,5812,42
31938,01022021 21:24:44,3.08,1042021,1026716,SMITHS MR 1550 E. 3500,LEHI,Michigan,5411,4
31938,01022021 21:26:09,4.73,1042021,1026716,SMITHS MR 1550 E. 3500,LEHI,Michigan,5411,5
36717,02202021 16:49:02,49.96,2222021,1053822,SOKOLS GREEK DELI & CA,CHICAGO,Illinois,5812,20
25471,04072021 20:46:17,27.61,4092021,1157032,FRED MEYE FRED MEYER 6,LYNNWOOD,Texas,5411,3
33717,02202021 12:49:42,15,2222021,1180769,KENTUCKY EXPOSITION CE,LOUISVILLE,California,7523,22
30483,03182021 22:29:55,5.48,3202021,1405803,QFC,SEATTLE,South Carolina,5411,4
25471,03312021 16:40:23,17.78,4022021,1405837,QFC,EDMONDS,Texas,5411,1
33152,01302021 17:00:40,54.81,2012021,1424945,TJMAXX ,HOUSTON,Wisconsin,5651,1
37226,01212021 12:14:03,4.45,1232021,1450197,FRYS-FOOD 7628 INDIAN,SCOTTSDALE,New York,5411,24
37226,01212021 12:35:21,5.26,1232021,1450197,FRYS-FOOD 7628 INDIAN,SCOTTSDALE,New York,5411,25
25643,04012021 12:40:20,5.7,4032021,1900274,WHOLEFDS,HOUSTON,Illinois,5411,66
53222,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,ASHLAND,Ohio,5499,6
54992,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,BALTIMORE,Maryland,5499,6
44891,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,BRIDGEPORT,New Jersey,5499,6
43991,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,BRIGHTON,Michigan,5499,6
53111,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,HAMILTON,Ohio,5499,6
38829,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,HOUSTON,Ohio,5499,74
38829,03132021 15:25:24,4.85,3152021,2355702,TIGER EXPRESS,HOUSTON,Ohio,5499,106
11111,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,HOUSTON,Texas,5499,6
54999,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,KULPSVILLE,Pennsylvania,5499,6
22222,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,LOS ANGELES,California,5499,6
37222,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,LOS ANGELES,California,5499,2
33555,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,MIDDLE ISLAND,New York,5499,6
33333,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,NEW YORK,New York,5499,6
54722,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,SAN JOSE,California,5499,6
54891,02272021 15:27:57,4.85,3012021,2355702,TIGER EXPRESS,SIOUX FALLS,South Dakota,5499,6
46762,02272021 15:27:57,7.85,3012021,2355702,BURGER KING,ANCHORAGE,Alaska,5499,6
54566,02272021 15:27:57,7.85,3012021,2355702,Starbucks,CHICAGO,Illinois,5499,6
33452,04012021 13:20:44,10.2,4032021,3402032,TARGET,CHULA VISTA,New Jersey,5411,2
33452,04012021 13:15:32,91.89,4032021,3402032,TARGET,CHULA VISTA,New Jersey,5411,1
28226,01162021 15:33:57,5.41,1172021,3403972,SSA HOUSTON ZOO,HOUSTON,Pennsylvania,5947,11
38829,12282020 16:15:59,11.18,12302020,3420935,TARGET,HOUSTON,Ohio,5411,160
38829,01252021 17:17:54,1.49,1272021,4301167,COINMACH,HOUSTON,Ohio,7211,32
38829,03162021 18:00:17,1.49,3182021,4301167,COINMACH,HOUSTON,Ohio,7211,111
38829,03162021 17:59:41,1.49,3182021,4301167,COINMACH,HOUSTON,Ohio,7211,110
37639,03282021 14:03:01,39.56,3302021,4521021,TARGET,CENTRAL ISLIP,New Jersey,5411,3
28440,03302021 22:11:16,14.59,4012021,4532092,BETOS MEXICAN FOOD,AMERICAN FORK,Illinois,5812,2
28440,03312021 19:04:43,8.64,4012021,4532092,BETOS MEXICAN FOOD,AMERICAN FORK,Illinois,5812,3
28440,04022021 16:17:36,9.5,4032021,4532092,BETOS MEXICAN FOOD,AMERICAN FORK,Illinois,5812,7
23427,03292021 18:25:19,1,3302021,4941145,MARK VEND CO,NORTHBROOK,Wisconsin,5814,2
23427,03302021 18:22:43,1,3312021,4941145,MARK VEND CO,NORTHBROOK,Wisconsin,5814,3
23427,03312021 20:11:51,1,4012021,4941145,MARK VEND CO,NORTHBROOK,Wisconsin,5814,6
23427,03312021 20:10:31,1.25,4012021,4941145,MARK VEND CO,NORTHBROOK,Wisconsin,5814,5
20759,04092021 17:42:36,106.44,4102021,5186484,S&D OYSTER COMPANY,DALLAS,New Mexico,5812,80
20759,02032021 11:35:13,24.97,2042021,5186484,S&D OYSTER COMPANY,DALLAS,New Mexico,5812,17
20759,03162021 10:30:22,33.25,3172021,5186484,S&D OYSTER COMPANY,DALLAS,New Mexico,5812,48
20759,03192021 17:53:25,85.93,3202021,5186484,S&D OYSTER COMPANY,DALLAS,New Mexico,5812,54
33717,03122021 20:58:11,52,3152021,6525797,COCK N BULL,TOLEDO,California,5812,69
26208,04062021 08:58:15,1.84,4072021,7171526,3ACOMPANYKITCHEN 877-2,TROY,Oregon,5814,1
26208,04062021 09:51:12,5.53,4072021,7171526,3ACOMPANYKITCHEN 877-2,TROY,Oregon,5814,2
32628,01302021 00:57:32,3.75,2012021,7562781,USCONNECT ACEVN VEND,TEMPE,California,5814,21
30483,03262021 08:35:52,2.1,3292021,8239207,USCONNECT EVRGN VEND N,SEATTLE,South Carolina,5814,6
26995,04072021 20:42:11,3.25,4092021,8972534,USCONNECT RFSOL VEND 2,GREENSBORO,New York,5814,16
25770,03312021 18:35:41,16.06,4022021,9103261,POMEGRANATE CAFE,PHOENIX,New Jersey,5812,57
15041,03292021 15:14:26,60.78,3312021,9557748,ANGELAS BISTRO AND WIN,CROFTON,Alaska,5812,1
33717,02202021 20:11:45,143.72,2222021,10022450,SARINO RESTAURANT,LOUISVILLE,California,5812,24
35934,04022021 16:44:22,20,4042021,10101063,OPS* COIN 205 E 95TH S,NEW YORK,Nevada,7211,1
14829,02162021 11:07:51,14.95,2172021,10282278,EL NUEVO CARIDAD,NEW YORK,Texas,5812,15
13868,04012021 15:44:36,37.03,4032021,10591959,PALMANOS PIZZERIA,LEXINGTON,Indiana,5812,4
36717,01262021 15:05:24,43.17,1272021,10678194,GRINGOS MEXICAN KITCHE,PEARLAND,Illinois,5812,1
36717,04062021 16:04:48,56.1,4072021,10678194,GRINGOS MEXICAN KITCHE,PEARLAND,Illinois,5812,41
18393,03102021 11:27:35,16.79,3112021,10705633,FADIS EATERY,HOUSTON,Alaska,5812,15
31452,03172021 14:05:25,15.27,3192021,10764655,WRAP AND ROLL,PEARLAND,Tennessee,5812,45
31452,02132021 13:58:30,22.47,2152021,10764655,WRAP AND ROLL,PEARLAND,Tennessee,5812,16
31452,03252021 15:11:47,4.98,3272021,10764655,WRAP AND ROLL,PEARLAND,Tennessee,5812,52
36717,02192021 15:58:39,6.26,2222021,10764655,WRAP AND ROLL,PEARLAND,Illinois,5812,17
20759,03012021 17:47:39,5.2,3032021,10801770,IN N OUT BURGER 341,DALLAS,New Mexico,5814,31
31094,12272020 07:49:10,24,12282020,10895509,LILAS MEXICAN RESTAURA,PEARLAND,New Jersey,5812,137
31094,02272021 07:04:33,28.24,3012021,10895509,LILAS MEXICAN RESTAURA,PEARLAND,New Jersey,5812,86
31094,01092021 07:53:56,31.87,1112021,10895509,LILAS MEXICAN RESTAURA,PEARLAND,New Jersey,5812,10
36717,02122021 18:30:57,42.78,2132021,10895509,LILAS MEXICAN RESTAURA,PEARLAND,Illinois,5812,10
25770,04072021 10:32:20,12.29,4092021,10909441,NEKTER JUICE BAR 7021,903-293-4532,New Jersey,5814,78
26607,03012021 18:00:09,7.13,3032021,11132001,PEETS COFFEE #8,SAN FRANCISCO,Michigan,5814,44
37096,03202021 10:56:59,14,3222021,11199661,HACIENDA VIEJA MEXICAN,INDEPENDENCE,New Jersey,5812,1
26669,03302021 16:52:46,7.84,3312021,11274894,BARTLEYS BBQ,GRAPEVINE,Ohio,5812,6
18054,02282021 15:02:13,5.94,3012021,11481408,SHIPLEYS DO-NUTS,KATY,South Dakota,5462,20
18054,01252021 18:53:08,5.94,1262021,11481408,SHIPLEYS DO-NUTS,KATY,South Dakota,5462,10
28226,03202021 18:13:43,80.65,3222021,11541474,GRINGOS KATY,KATY,Pennsylvania,5812,60
32628,02232021 11:16:42,10,2252021,11687491,GIRL SCOUTS OF SAN JAC,713-292-0300,California,8641,28
31452,02202021 13:50:24,10,2222021,11687491,GIRL SCOUTS OF SAN JAC,713-292-0300,Tennessee,8641,19
21248,03272021 15:21:47,37.94,3292021,11803700,DOLLAR GE DG 130251030,SUMTER,New York,5310,3
27014,03272021 11:20:13,33.76,3292021,11873810,BIG LOTS  825 W CENTER,GARLAND,New York,5310,5
19820,03312021 11:27:05,74.47,4022021,11930230,HARRIS TE 7036 BRIGHTO,MINT HILL,Colorado,5411,2
30808,03282021 11:57:02,34.28,3302021,13767798,SMITHS-FU 800 ST. MICH,SANTA FE,Rhode Island,5542,10
19990,04072021 09:33:15,7.4,4092021,13877290,DOLLAR TR,VIDALIA,California,5331,2
38206,03222021 17:54:08,8.23,3242021,14142737,DOLLAR TR,MOLINE,Alaska,5331,3
19939,04052021 14:18:21,180.88,4072021,14813725,KROGER,VERSAILLES,California,5411,1
34729,03302021 10:55:14,8.2,4012021,17443432,PMT* LEE  2480 THOMPSO,FORT MYERS,Massachusetts,9399,4
26777,04042021 12:40:54,2.99,4052021,18777015,GOOGLE*GOOGLE PLAY,INTERNET,Ohio,5817,2
26777,04052021 05:23:44,3.99,4062021,18777015,GOOGLE*GOOGLE PLAY,INTERNET,Ohio,5817,3
26777,03072021 01:46:51,3.99,3082021,18777015,GOOGLE*GOOGLE PLAY,INTERNET,Ohio,5817,1
17032,04022021 10:01:10,5.32,4032021,18777015,GOOGLE*GOOGLE PLAY,INTERNET,Minnesota,5818,6
17032,03312021 01:00:20,5.32,4012021,18777015,GOOGLE*GOOGLE PLAY,INTERNET,Minnesota,5818,4
17032,04012021 01:10:45,5.32,4022021,18777015,GOOGLE*GOOGLE PLAY,INTERNET,Minnesota,5817,5
17032,04032021 01:18:31,5.32,4052021,18777015,GOOGLE*GOOGLE PLAY,INTERNET,Minnesota,5817,7
25471,04012021 03:10:41,7.62,4032021,22524231,WINCO FOO 21900 Highwa,EDMONDS,Texas,5411,2
23202,04042021 10:03:06,40.67,4062021,23814749,KROGER FU 4620 SH 121,LEWISVILLE,Pennsylvania,5542,2
18393,04022021 16:32:56,4.08,4042021,24563312,DOLLAR TR,HOUSTON,Alaska,5331,19
24029,04062021 15:39:17,59.66,4082021,25721316,KROGER,PROSPER,California,5411,15
26238,04032021 13:17:38,4.19,4052021,25910679,DOLLAR TR,ABINGDON,Maryland,5331,1
17561,03192021 14:22:00,6.15,3212021,27537258,KROGER,CUMMING,Minnesota,5411,2
37466,03052021 08:47:15,7.04,3072021,47405048,WHOLEFDS,HOUSTON,Ohio,5411,110
24124,04062021 07:22:05,67.62,4082021,77000751,CVS/PHARM,BEVERLY,Wyoming,5912,2
33945,01152021 09:52:05,11,1172021,77002742,CVS/PHARM,TEANECK,Ohio,5912,1
20669,02052021 15:40:37,3.24,2072021,77003699,CVS/PHARM,DEER PARK,Louisiana,5912,4
31094,12262020 10:23:17,20.74,12282020,77005877,CVS/PHARM,PEARLAND,New Jersey,5912,136
38829,12292020 13:06:34,5.4,12312020,77006241,CVS/PHARM,HOUSTON,Ohio,5912,166
25643,01052021 16:36:10,5.59,1072021,77007162,CVS/PHARM,HOUSTON,Illinois,5912,10
20598,04042021 20:35:44,41.53,4062021,77007178,CVS/PHARM,GAINESVILLE,Pennsylvania,5912,3
20598,04042021 20:32:08,41.99,4062021,77007178,CVS/PHARM,GAINESVILLE,Pennsylvania,5912,2
19444,04032021 14:32:47,3.18,4052021,77009564,CVS/PHARM,Gardena,New York,5912,2
28440,04062021 16:41:27,3.58,4082021,77010577,CVS/PHARM,AMERICAN FORK,Illinois,5912,12
28440,03312021 19:18:52,3.7,4022021,77010577,CVS/PHARM,AMERICAN FORK,Illinois,5912,4
28440,04062021 16:28:35,7.29,4082021,77010577,CVS/PHARM,AMERICAN FORK,Illinois,5912,11
28440,03312021 19:23:37,8.39,4022021,77010577,CVS/PHARM,AMERICAN FORK,Illinois,5912,5
20759,02022021 07:03:21,32.98,2042021,77011065,CVS/PHARM,DALLAS,New Mexico,5912,14
32922,02142021 13:57:40,250,2152021,81000100,URBAN OUTFITTERS,SCOTTSDALE,New Jersey,5651,8
43991,12302020 14:27:05,15.75,1012021,90282822,KROGER,BRIGHTON,Michigan,5411,17
53111,12302020 14:27:05,15.75,1012021,90282822,KROGER,HAMILTON,Ohio,5411,17
11111,12302020 14:27:05,15.75,1012021,90282822,KROGER,HOUSTON,Texas,5411,17
11111,12302020 14:27:05,2300,1012021,90282822,KROGER,HOUSTON,Texas,5411,15
38829,12302020 14:27:05,3,1012021,90282822,KROGER,HOUSTON,Ohio,5411,170
43991,12302020 14:27:05,42.51,1012021,90282822,KROGER,BRIGHTON,Michigan,5411,25
53111,12302020 14:27:05,42.51,1012021,90282822,KROGER,HAMILTON,Ohio,5411,25
11111,12302020 14:27:05,42.51,1012021,90282822,KROGER,HOUSTON,Texas,5411,16
43991,12302020 14:27:05,55.39,1012021,90282822,KROGER,BRIGHTON,Michigan,5411,13
53111,12302020 14:27:05,55.39,1012021,90282822,KROGER,HAMILTON,Ohio,5411,13
11111,12302020 14:27:05,55.39,1012021,90282822,KROGER,HOUSTON,Texas,5411,13
43991,12302020 14:27:05,74.42,1012021,90282822,KROGER,BRIGHTON,Michigan,5411,14
53111,12302020 14:27:05,74.42,1012021,90282822,KROGER,HAMILTON,Ohio,5411,14
11111,12302020 14:27:05,74.42,1012021,90282822,KROGER,HOUSTON,Texas,5411,14
31488,03272021 16:00:20,6.72,3292021,90548862,DAILY MARKET,NEW YORK,Texas,5499,6
33013,03212021 18:18:21,40.13,3232021,90730804,KROGER,MISSOURI CITY,Kansas,5411,1
33452,04032021 17:22:15,4.35,4052021,90878728,RALPHS,CHULA VISTA,New Jersey,5411,3
31452,03252021 09:00:52,6.12,3272021,90938217,KROGER,PEARLAND,Tennessee,5411,51
33717,02202021 16:53:07,55.09,2222021,91122879,KROGER,LOUISVILLE,California,5411,23
33717,02172021 16:24:29,15.18,2192021,155336958,KROGER,MANSFIELD,California,5411,19
33717,03022021 16:23:16,35.14,3042021,155336958,KROGER,MANSFIELD,California,5411,42
36836,04042021 12:52:42,24.61,4062021,155674028,KROGER,TOLEDO,New York,5411,6
25770,04072021 12:03:50,102.23,4082021,336707879,VZWRLSS,FOLSOM,New Jersey,4814,80
14281,03192021 10:18:40,66.25,3222021,336711008,VZWRLSS,HOBOKEN,Texas,4812,10
31593,04092021 03:15:29,65.48,4102021,336711802,VZWRLSS,FOLSOM,Kansas,4814,26
16841,04082021 16:50:54,1.35,4092021,344011001,USA*SNACK SODA VENDING,HENDERSON,New York,5814,7
16841,04082021 16:51:27,1.35,4092021,344011001,USA*SNACK SODA VENDING,HENDERSON,New York,5814,8
29455,04062021 09:51:50,42.39,4072021,369002001,MAURICE'S #20 MAURICES_,SIOUX FALLS,Pennsylvania,5621,5
32922,02112021 14:44:01,156.22,2122021,423000300,ANTHROPOLOGIE #0 15210,SCOTTSDALE,New Jersey,5651,4
25770,03312021 03:08:14,204.82,4022021,524861500,BEACH TERRACE INN,CARLSBAD,New Jersey,7011,53
26995,03312021 07:33:02,3.23,4022021,900000105,WAL-MART,CORINTH,New York,5411,4
26995,03302021 09:21:04,3.23,4012021,900000105,WAL-MART,CORINTH,New York,5411,1
26995,03302021 14:47:59,3.34,4012021,900000105,WAL-MART,CORINTH,New York,5411,2
26995,03312021 09:56:57,3.7,4022021,900000105,WAL-MART,CORINTH,New York,5411,5
37096,03222021 10:43:53,14.86,3242021,900000573,WAL-MART,LEE'S SUMMIT,New Jersey,5411,5
19990,04072021 09:51:02,40.27,4092021,900000864,WAL-MART,VIDALIA,California,5411,3
38206,03212021 15:14:18,37.89,3232021,900001120,WAL-MART,GLADSTONE,Alaska,5310,1
36620,03222021 19:13:26,59.54,3242021,900001308,WAL-MART,LITTLETON,New York,5411,1
18393,02062021 13:10:19,19.4,2082021,900001409,WAL-MART,HOUSTON,Alaska,5310,11
